Date,n1,n2
2017-05-14,50545114,50000493
2017-05-14,50545114,50000503
2017-05-14,50545114,50000493
2017-05-14,50545114,50413712
2017-05-14,50545114,50000554
2017-05-14,50545114,50000529
2017-05-14,50545114,50000493
2017-05-14,50000493,50000503
2017-05-14,50000493,50000493
2017-05-14,50000493,50413712
2017-05-14,50000493,50000554
2017-05-14,50000493,50000529
2017-05-14,50000493,50000493
2017-05-14,50000503,50000493
2017-05-14,50000503,50413712
2017-05-14,50000503,50000554
2017-05-14,50000503,50000529
2017-05-14,50000503,50000493
2017-05-14,50000493,50413712
2017-05-14,50000493,50000554
2017-05-14,50000493,50000529
2017-05-14,50000493,50000493
2017-05-14,50413712,50000554
2017-05-14,50413712,50000529
2017-05-14,50413712,50000493
2017-05-14,50000554,50000529
2017-05-14,50000554,50000493
2017-05-14,50000529,50000493
2017-05-14,50000493,50000493
2017-05-14,50000493,50000493
2017-05-14,50000493,50000499
2017-05-14,50000493,50000493
2017-05-14,50000493,50000499
2017-05-14,50000493,50000499
2017-05-14,50000493,50000509
2017-05-14,50000493,50000493
2017-05-14,50000493,50000493
2017-05-14,50000493,50000509
2017-05-14,50000509,50000493
2017-05-14,50000509,50000493
2017-05-14,50000509,50000509
2017-05-14,50000493,50000493
2017-05-14,50000493,50000509
2017-05-14,50000493,50000509
2017-05-14,50000493,50000531
2017-05-14,50000493,50000493
2017-05-14,50000493,50000471
2017-05-14,50000493,50000493
2017-05-14,50000493,50413712
2017-05-14,50000531,50000493
2017-05-14,50000531,50000471
2017-05-14,50000531,50000493
2017-05-14,50000531,50413712
2017-05-14,50000493,50000471
2017-05-14,50000493,50000493
2017-05-14,50000493,50413712
2017-05-14,50000471,50000493
2017-05-14,50000471,50413712
2017-05-14,50000493,50413712
2016-12-30,50545114,50000493
2016-12-30,50545114,50000554
2016-12-30,50545114,50000493
2016-12-30,50545114,50000493
2016-12-30,50000493,50000554
2016-12-30,50000493,50000493
2016-12-30,50000493,50000493
2016-12-30,50000554,50000493
2016-12-30,50000554,50000493
2016-12-30,50000493,50000493
2016-12-30,50545114,50000493
2016-12-30,50545114,50000554
2016-12-30,50545114,50000493
2016-12-30,50545114,50000493
2016-12-30,50545114,50000531
2016-12-30,50545114,50000493
2016-12-30,50000493,50000554
2016-12-30,50000493,50000493
2016-12-30,50000493,50000493
2016-12-30,50000493,50000531
2016-12-30,50000493,50000493
2016-12-30,50000554,50000493
2016-12-30,50000554,50000493
2016-12-30,50000554,50000531
2016-12-30,50000554,50000493
2016-12-30,50000493,50000493
2016-12-30,50000493,50000531
2016-12-30,50000493,50000493
2016-12-30,50000493,50000531
2016-12-30,50000493,50000493
2016-12-30,50000531,50000493
2016-09-01,50000493,50000493
2016-09-01,50000493,50000493
2016-09-01,50000493,50000529
2016-09-01,50000493,50000554
2016-09-01,50000493,50000493
2016-09-01,50000493,50000529
2016-09-01,50000493,50000554
2016-09-01,50000493,50000529
2016-09-01,50000493,50000554
2016-09-01,50000529,50000554
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000493,50000493
2016-05-15,50000499,50000493
2015-12-30,50000493,50413712
2015-12-30,50000493,50000493
2015-12-30,50000493,50000493
2015-12-30,50413712,50000493
2015-12-30,50413712,50000493
2015-12-30,50000493,50000493
2015-12-30,50000493,50000531
2015-12-30,50000493,50000493
2015-12-30,50000493,50000493
2015-12-30,50000493,50413712
2015-12-30,50000493,50000506
2015-12-30,50000531,50000493
2015-12-30,50000531,50000493
2015-12-30,50000531,50413712
2015-12-30,50000531,50000506
2015-12-30,50000493,50000493
2015-12-30,50000493,50413712
2015-12-30,50000493,50000506
2015-12-30,50000493,50413712
2015-12-30,50000493,50000506
2015-12-30,50413712,50000506
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000493,50000528
2016-05-15,50000493,50000499
2016-05-15,50000493,50000528
2016-05-15,50000499,50000528
2016-05-15,50000493,50000499
2016-05-15,50000493,50000493
2016-05-15,50000493,50000493
2016-05-15,50000499,50000493
2016-05-15,50000499,50000493
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000493,50000493
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000499,50000493
2016-05-15,50000499,50000493
2016-05-15,50000499,50000499
2016-05-15,50000493,50000493
2016-05-15,50000493,50000499
2016-05-15,50000493,50000499
2015-05-10,50000554,50000529
2015-05-10,50000554,50000493
2015-05-10,50000554,50000554
2015-05-10,50000554,50000493
2015-05-10,50000554,50545114
2015-05-10,50000554,50000493
2015-05-10,50000529,50000493
2015-05-10,50000529,50000554
2015-05-10,50000529,50000493
2015-05-10,50000529,50545114
2015-05-10,50000529,50000493
2015-05-10,50000493,50000554
2015-05-10,50000493,50000493
2015-05-10,50000493,50545114
2015-05-10,50000493,50000493
2015-05-10,50000554,50000493
2015-05-10,50000554,50545114
2015-05-10,50000554,50000493
2015-05-10,50000493,50545114
2015-05-10,50000493,50000493
2015-05-10,50545114,50000493
2015-05-10,50000504,50000509
2015-05-10,50000504,50000493
2015-05-10,50000509,50000493
2015-09-01,50000506,50000554
2015-09-01,50000506,50000554
2015-09-01,50000506,50000493
2015-09-01,50000506,50545114
2015-09-01,50000506,50000493
2015-09-01,50000554,50000554
2015-09-01,50000554,50000493
2015-09-01,50000554,50545114
2015-09-01,50000554,50000493
2015-09-01,50000554,50000493
2015-09-01,50000554,50545114
2015-09-01,50000554,50000493
2015-09-01,50000493,50545114
2015-09-01,50000493,50000493
2015-09-01,50545114,50000493
2015-09-01,50000509,50413712
2015-09-01,50000509,50000493
2015-09-01,50000509,50000529
2015-09-01,50000509,50000493
2015-09-01,50000509,50000531
2015-09-01,50000509,50000493
2015-09-01,50000509,50000529
2015-09-01,50413712,50000493
2015-09-01,50413712,50000529
2015-09-01,50413712,50000493
2015-09-01,50413712,50000531
2015-09-01,50413712,50000493
2015-09-01,50413712,50000529
2015-09-01,50000493,50000529
2015-09-01,50000493,50000493
2015-09-01,50000493,50000531
2015-09-01,50000493,50000493
2015-09-01,50000493,50000529
2015-09-01,50000529,50000493
2015-09-01,50000529,50000531
2015-09-01,50000529,50000493
2015-09-01,50000529,50000529
2015-09-01,50000493,50000531
2015-09-01,50000493,50000493
2015-09-01,50000493,50000529
2015-09-01,50000531,50000493
2015-09-01,50000531,50000529
2015-09-01,50000493,50000529
2015-09-01,50000493,50000509
2015-09-01,50000493,50000529
2015-09-01,50000493,50000493
2015-09-01,50000493,50413712
2015-09-01,50000493,50000493
2015-09-01,50000493,50000529
2015-09-01,50000509,50000529
2015-09-01,50000509,50000493
2015-09-01,50000509,50413712
2015-09-01,50000509,50000493
2015-09-01,50000509,50000529
2015-09-01,50000529,50000493
2015-09-01,50000529,50413712
2015-09-01,50000529,50000493
2015-09-01,50000529,50000529
2015-09-01,50000493,50413712
2015-09-01,50000493,50000493
2015-09-01,50000493,50000529
2015-09-01,50413712,50000493
2015-09-01,50413712,50000529
2015-09-01,50000493,50000529
2014-12-30,50000345,50000493
2014-12-30,50000345,50000554
2014-12-30,50000345,50000529
2014-12-30,50000345,50000493
2014-12-30,50000345,50000493
2014-12-30,50000345,50000531
2014-12-30,50000493,50000554
2014-12-30,50000493,50000529
2014-12-30,50000493,50000493
2014-12-30,50000493,50000493
2014-12-30,50000493,50000531
2014-12-30,50000554,50000529
2014-12-30,50000554,50000493
2014-12-30,50000554,50000493
2014-12-30,50000554,50000531
2014-12-30,50000529,50000493
2014-12-30,50000529,50000493
2014-12-30,50000529,50000531
2014-12-30,50000493,50000493
2014-12-30,50000493,50000531
2014-12-30,50000493,50000531
2014-09-01,50000493,50413712
2014-09-01,50000493,50000554
2014-09-01,50000493,50000529
2014-09-01,50000493,50000503
2014-09-01,50000493,50000493
2014-09-01,50000493,50000531
2014-09-01,50000493,50000493
2014-09-01,50000493,50000529
2014-09-01,50413712,50000554
2014-09-01,50413712,50000529
2014-09-01,50413712,50000503
2014-09-01,50413712,50000493
2014-09-01,50413712,50000531
2014-09-01,50413712,50000493
2014-09-01,50413712,50000529
2014-09-01,50000554,50000529
2014-09-01,50000554,50000503
2014-09-01,50000554,50000493
2014-09-01,50000554,50000531
2014-09-01,50000554,50000493
2014-09-01,50000554,50000529
2014-09-01,50000529,50000503
2014-09-01,50000529,50000493
2014-09-01,50000529,50000531
2014-09-01,50000529,50000493
2014-09-01,50000529,50000529
2014-09-01,50000503,50000493
2014-09-01,50000503,50000531
2014-09-01,50000503,50000493
2014-09-01,50000503,50000529
2014-09-01,50000493,50000531
2014-09-01,50000493,50000493
2014-09-01,50000493,50000529
2014-09-01,50000531,50000493
2014-09-01,50000531,50000529
2014-09-01,50000493,50000529
2014-05-11,50000493,50000493
2014-05-11,50000493,50000503
2014-05-11,50000493,50000509
2014-05-11,50000493,50000493
2014-05-11,50000493,50413712
2014-05-11,50000493,50000503
2014-05-11,50000493,50000509
2014-05-11,50000493,50000493
2014-05-11,50000493,50413712
2014-05-11,50000503,50000509
2014-05-11,50000503,50000493
2014-05-11,50000503,50413712
2014-05-11,50000509,50000493
2014-05-11,50000509,50413712
2014-05-11,50000493,50413712
2014-05-11,50000493,50000493
2014-05-11,50000493,50000506
2014-05-11,50000493,50000554
2014-05-11,50000493,50000529
2014-05-11,50000493,50000516
2014-05-11,50000493,50000493
2014-05-11,50000493,50000506
2014-05-11,50000493,50000554
2014-05-11,50000493,50000529
2014-05-11,50000493,50000516
2014-05-11,50000493,50000493
2014-05-11,50000506,50000554
2014-05-11,50000506,50000529
2014-05-11,50000506,50000516
2014-05-11,50000506,50000493
2014-05-11,50000554,50000529
2014-05-11,50000554,50000516
2014-05-11,50000554,50000493
2014-05-11,50000529,50000516
2014-05-11,50000529,50000493
2014-05-11,50000516,50000493
2014-05-11,50000493,50000506
2014-05-11,50000493,50000379
2014-05-11,50000493,50000528
2014-05-11,50000493,50000493
2014-05-11,50000506,50000379
2014-05-11,50000506,50000528
2014-05-11,50000506,50000493
2014-05-11,50000379,50000528
2014-05-11,50000379,50000493
2014-05-11,50000528,50000493
2013-12-30,50000345,50000493
2013-12-30,50000345,50000493
2013-12-30,50000345,50413712
2013-12-30,50000345,50000528
2013-12-30,50000345,50000493
2013-12-30,50000345,50000493
2013-12-30,50000345,50000531
2013-12-30,50000493,50000493
2013-12-30,50000493,50413712
2013-12-30,50000493,50000528
2013-12-30,50000493,50000493
2013-12-30,50000493,50000493
2013-12-30,50000493,50000531
2013-12-30,50000493,50413712
2013-12-30,50000493,50000528
2013-12-30,50000493,50000493
2013-12-30,50000493,50000493
2013-12-30,50000493,50000531
2013-12-30,50413712,50000528
2013-12-30,50413712,50000493
2013-12-30,50413712,50000493
2013-12-30,50413712,50000531
2013-12-30,50000528,50000493
2013-12-30,50000528,50000493
2013-12-30,50000528,50000531
2013-12-30,50000493,50000493
2013-12-30,50000493,50000531
2013-12-30,50000493,50000531
2013-09-01,50000493,50000493
2013-09-01,50000493,50000531
2013-09-01,50000493,50000531
2012-12-30,50000509,50000504
2012-12-30,50000509,50000493
2012-12-30,50000504,50000493
2013-05-12,50000493,50000531
2013-05-12,50000493,50000493
2013-05-12,50000493,50000493
2013-05-12,50000493,50413712
2013-05-12,50000531,50000493
2013-05-12,50000531,50000493
2013-05-12,50000531,50413712
2013-05-12,50000493,50000493
2013-05-12,50000493,50413712
2013-05-12,50000493,50413712
2012-05-13,50000493,50000493
2012-05-13,50000493,50000345
2012-05-13,50000493,50000493
2012-05-13,50000493,50000345
2012-05-13,50000493,50000493
2012-05-13,50000345,50000493
2014-09-01,50000495,50000495
2014-09-01,50000495,50000495
2014-09-01,50000495,50000496
2014-09-01,50000495,50000495
